Elev (NGVD 29) ft,Volume (Ac-ft)
4476.83,"4,114"
4476.92,"5,471"
4477.34,"14,088"
4477.38,"15,079"
4477.41,"15,840"
4477.54,"19,364"
4477.83,"28,222"
4478.03,"35,127"
4478.39,"49,653"
4478.48,"53,705"
4478.48,"53,705"
4478.84,"71,227"
4479.01,"80,138"
4479.08,"83,922"
4479.09,"84,462"
4479.11,"85,555"
4479.16,"88,317"
4479.28,"95,032"
4479.47,"105,983"
4479.56,"111,293"
4479.59,"113,072"
4479.63,"115,471"
4479.64,"116,073"
4479.69,"119,084"
4479.76,"123,349"
4479.83,"127,647"
4479.87,"130,121"
4479.88,"130,740"
4479.94,"134,482"
4479.96,"135,735"
4480.05,"141,409"
4480.07,"142,676"
4480.11,"145,218"
4480.16,"148,421"
4480.16,"148,421"
4480.19,"150,343"
4480.27,"155,516"
4480.27,"155,516"
4480.34,"160,074"
4480.47,"168,618"
4480.51,"171,264"
4480.52,"171,930"
4480.52,"171,930"
4480.54,"173,262"
4480.61,"177,929"
4480.62,"178,600"
4480.64,"179,944"
4480.66,"181,287"
4480.66,"181,287"
4480.7,"183,974"
4480.71,"184,651"
4480.71,"184,651"
4480.74,"186,682"
4480.8,"190,745"
4480.81,"191,427"
4480.87,"195,522"
4480.92,"198,944"
4480.92,"198,944"
4480.93,"199,632"
4480.93,"199,632"
4480.97,"202,382"
4480.98,"203,069"
4480.99,"203,756"
4481.03,"206,521"
4481.03,"206,521"
4481.08,"209,983"
4481.09,"210,676"
4481.12,"212,762"
4481.13,"213,459"
4481.14,"214,156"
4481.14,"214,156"
4481.15,"214,853"
4481.15,"214,853"
4481.17,"216,247"
4481.18,"216,944"
4481.2,"218,338"
4481.2,"218,338"
4481.21,"219,040"
4481.22,"219,741"
4481.26,"222,548"
4481.26,"222,548"
4481.26,"222,548"
4481.32,"226,766"
4481.34,"228,178"
4481.39,"231,708"
4481.43,"234,545"
4481.43,"234,545"
4481.44,"235,255"
4481.44,"235,255"
4481.45,"235,965"
4481.47,"237,385"
4481.47,"237,385"
4481.5,"239,516"
4481.5,"239,516"
4481.52,"240,945"
4481.52,"240,945"
4481.53,"241,659"
4481.54,"242,373"
4481.63,"248,814"
4481.64,"249,532"
4481.66,"250,968"
4481.67,"251,686"
4481.72,"255,285"
4481.74,"256,729"
4481.76,"258,174"
4481.78,"259,618"
4481.79,"260,340"
4481.82,"262,514"
4481.82,"262,514"
4481.9,"268,320"
4481.92,"269,779"
4481.92,"269,779"
4481.93,"270,508"
4481.94,"271,238"
4481.95,"271,967"
4481.99,"274,885"
4482.01,"276,347"
4482.055,"279,645"
4482.055,"279,646"
4482.06,"280,012"
4482.06,"280,012"
4482.095,"282,577"
4482.1,"282,944"
4482.12,"284,417"
4482.14,"285,890"
4482.14,"285,890"
